Q2
P: 1
T: 0.004468 s
T: 0.011305 s
T: 0.024319 s
T: 0.017452 s
T: 0.008671 s
T: 0.031456 s
T: 0.008871 s
T: 0.017814 s
T: 0.017565 s
P: 17
T: 0.014066 s
T: 0.008394 s
T: 0.004666 s
T: 0.005538 s
T: 0.004072 s
T: 0.022725 s
T: 0.004281 s
T: 0.004168 s
T: 0.020693 s
T: 0.012515 s
T: 0.008266 s
T: 0.021010 s
T: 0.005045 s
T: 0.010035 s
T: 0.013861 s
T: 0.004176 s
T: 0.008448 s
T: 0.004183 s
T: 0.008333 s
T: 0.009275 s
P: 18
T: 0.016403 s
T: 0.007652 s
T: 0.008710 s
T: 0.009746 s
T: 0.003884 s
T: 0.009295 s
T: 0.011795 s
T: 0.004104 s
T: 0.015879 s
T: 0.015649 s
T: 0.022392 s
T: 0.007912 s
T: 0.011745 s
T: 0.011988 s
T: 0.026637 s
T: 0.010663 s
T: 0.003969 s
T: 0.004421 s
T: 0.016417 s
T: 0.005076 s
P: 19
T: 0.019324 s
T: 0.013053 s
T: 0.025857 s
T: 0.006678 s
T: 0.015647 s
T: 0.010109 s
T: 0.006593 s
T: 0.018409 s
T: 0.020365 s
T: 0.018626 s
T: 0.007445 s
T: 0.007567 s
T: 0.003958 s
T: 0.011312 s
T: 0.011275 s
T: 0.023721 s
T: 0.011889 s
T: 0.011164 s
T: 0.015433 s
T: 0.011079 s
P: 20
T: 0.010617 s
T: 0.006006 s
T: 0.011286 s
T: 0.007167 s
T: 0.010793 s
T: 0.003798 s
T: 0.009698 s
T: 0.010938 s
T: 0.007089 s
T: 0.010482 s
T: 0.003673 s
T: 0.017948 s
T: 0.006634 s
T: 0.016993 s
T: 0.015569 s
T: 0.007502 s
T: 0.014549 s
T: 0.021008 s
T: 0.013956 s
T: 0.007321 s
P: 21
T: 0.009420 s
T: 0.022693 s
T: 0.006585 s
T: 0.003532 s
T: 0.010064 s
T: 0.007681 s
T: 0.020776 s
T: 0.022736 s
T: 0.010951 s
T: 0.006940 s
T: 0.003550 s
T: 0.006739 s
T: 0.003602 s
T: 0.006297 s
T: 0.010364 s
T: 0.003951 s
T: 0.010616 s
T: 0.020825 s
T: 0.010812 s
T: 0.007180 s
P: 22
T: 0.019394 s
T: 0.006891 s
T: 0.011403 s
T: 0.012533 s
T: 0.020157 s
T: 0.004938 s
T: 0.004390 s
T: 0.003621 s
T: 0.018950 s
T: 0.015799 s
T: 0.015842 s
T: 0.019103 s
T: 0.021598 s
T: 0.014055 s
T: 0.010987 s
T: 0.014043 s
T: 0.003433 s
T: 0.024334 s
T: 0.004029 s
T: 0.018202 s
P: 23
T: 0.003325 s
T: 0.007700 s
T: 0.023645 s
T: 0.003130 s
T: 0.006398 s
T: 0.012419 s
T: 0.012185 s
T: 0.009371 s
T: 0.015380 s
T: 0.003587 s
T: 0.018690 s
T: 0.014676 s
T: 0.005228 s
T: 0.003234 s
T: 0.009518 s
T: 0.013237 s
T: 0.013275 s
T: 0.006058 s
T: 0.015618 s
T: 0.013692 s
P: 24
T: 0.023476 s
T: 0.014077 s
T: 0.002995 s
T: 0.011943 s
T: 0.010201 s
T: 0.020635 s
T: 0.017872 s
T: 0.017251 s
T: 0.011981 s
T: 0.023938 s
T: 0.020812 s
T: 0.003179 s
T: 0.006409 s
T: 0.009277 s
T: 0.009120 s
T: 0.016172 s
T: 0.006179 s
T: 0.020931 s
T: 0.009499 s
T: 0.011633 s
P: 25
T: 0.020890 s
T: 0.005753 s
T: 0.018030 s
T: 0.012044 s
T: 0.007558 s
T: 0.021485 s
T: 0.014378 s
T: 0.014771 s
T: 0.019422 s
T: 0.022750 s
T: 0.003017 s
T: 0.017210 s
T: 0.011587 s
T: 0.019966 s
T: 0.014786 s
T: 0.025247 s
T: 0.010827 s
T: 0.002915 s
T: 0.014446 s
T: 0.020045 s
P: 26
T: 0.011446 s
T: 0.014089 s
T: 0.006021 s
T: 0.015484 s
T: 0.019294 s
T: 0.011352 s
T: 0.002702 s
T: 0.002980 s
T: 0.013683 s
T: 0.013934 s
T: 0.008511 s
T: 0.009556 s
T: 0.016543 s
T: 0.016951 s
T: 0.008449 s
T: 0.012865 s
T: 0.013874 s
T: 0.017545 s
T: 0.019486 s
T: 0.008756 s
P: 27
T: 0.015909 s
T: 0.013571 s
T: 0.008667 s
T: 0.018690 s
T: 0.008186 s
T: 0.006187 s
T: 0.013309 s
T: 0.020442 s
T: 0.024943 s
T: 0.003565 s
T: 0.006398 s
T: 0.010534 s
T: 0.016789 s
T: 0.002866 s
T: 0.017652 s
T: 0.013525 s
T: 0.005815 s
T: 0.015259 s
T: 0.008728 s
T: 0.010845 s
P: 28
T: 0.002976 s
T: 0.015559 s
T: 0.012039 s
T: 0.011163 s
T: 0.013182 s
T: 0.018004 s
T: 0.015483 s
T: 0.007694 s
T: 0.012819 s
T: 0.007985 s
T: 0.012768 s
T: 0.020734 s
T: 0.002720 s
T: 0.016234 s
T: 0.008259 s
T: 0.005690 s
T: 0.015559 s
